"filename", "language", "Go", "Markdown", "YAML", "SVG", "JSON", "Go Checksum File", "Shell Script", "Go Module File", "Go Template File", "Docker", "Makefile", "MS SQL", "JavaScript", "comment", "blank", "total"
"/Users/higu/Project/tbls/config/viewpoints.go", "Go", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/higu/Project/tbls/config/yaml.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"/Users/higu/Project/tbls/coverage/coverage.go", "Go", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 98
"/Users/higu/Project/tbls/coverage/coverage_test.go", "Go", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 191
"/Users/higu/Project/tbls/datasource/aws.go", "Go", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 66
"/Users/higu/Project/tbls/datasource/datasource.go", "Go", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 307
"/Users/higu/Project/tbls/datasource/datasource_test.go", "Go", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"/Users/higu/Project/tbls/datasource/gcp.go", "Go", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 195
"/Users/higu/Project/tbls/datasource/gcp_test.go", "Go", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"/Users/higu/Project/tbls/datasource/mongo.go", "Go", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 71
"/Users/higu/Project/tbls/ddl/ddl.go", "Go", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 124
"/Users/higu/Project/tbls/ddl/ddl_test.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"/Users/higu/Project/tbls/dict/dict.go", "Go", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 100
"/Users/higu/Project/tbls/dict/dict_test.go", "Go", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 127
"/Users/higu/Project/tbls/drivers/bq/bq.go", "Go", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 143
"/Users/higu/Project/tbls/drivers/bq/bq_test.go", "Go", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"/Users/higu/Project/tbls/drivers/clickhouse/clickhouse.go", "Go", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39, 379
"/Users/higu/Project/tbls/drivers/clickhouse/clickhouse_test.go", "Go", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38, 178
"/Users/higu/Project/tbls/drivers/drivers.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"/Users/higu/Project/tbls/drivers/dynamo/dynamo.go", "Go", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 161
"/Users/higu/Project/tbls/drivers/dynamo/dynamo_test.go", "Go", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"/Users/higu/Project/tbls/drivers/mariadb/mariadb.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/higu/Project/tbls/drivers/mariadb/mariadb_test.go", "Go", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 87
"/Users/higu/Project/tbls/drivers/mongodb/mongodb.go", "Go", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 219
"/Users/higu/Project/tbls/drivers/mongodb/mongodb_test.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 113
"/Users/higu/Project/tbls/drivers/mssql/mssql.go", "Go", 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 46, 620
"/Users/higu/Project/tbls/drivers/mssql/mssql_test.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 63
"/Users/higu/Project/tbls/drivers/mysql/mysql.go", "Go", 580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 53, 653
"/Users/higu/Project/tbls/drivers/mysql/mysql_test.go", "Go", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 87
"/Users/higu/Project/tbls/drivers/postgres/postgres.go", "Go", 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 66, 768
"/Users/higu/Project/tbls/drivers/postgres/postgres_test.go", "Go", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 102
"/Users/higu/Project/tbls/drivers/redshift/redshift.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/higu/Project/tbls/drivers/snowflake/snowflake.go", "Go", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 136
"/Users/higu/Project/tbls/drivers/spanner/spanner.go", "Go", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 353
"/Users/higu/Project/tbls/drivers/spanner/spanner_test.go", "Go", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 67
"/Users/higu/Project/tbls/drivers/sqlite/sqlite.go", "Go", 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49, 510
"/Users/higu/Project/tbls/drivers/sqlite/sqlite_test.go", "Go", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 145
"/Users/higu/Project/tbls/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 4, 175
"/Users/higu/Project/tbls/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 1946, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1947
"/Users/higu/Project/tbls/main.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 36
"/Users/higu/Project/tbls/output/config/config.go", "Go", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 101
"/Users/higu/Project/tbls/output/config/config_test.go", "Go", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 116
"/Users/higu/Project/tbls/output/dot/dot.go", "Go", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 164
"/Users/higu/Project/tbls/output/dot/dot_test.go", "Go", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 201
"/Users/higu/Project/tbls/output/dot/templates/schema.dot.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"/Users/higu/Project/tbls/output/dot/templates/table.dot.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"/Users/higu/Project/tbls/output/gviz/gviz.go", "Go", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 238
"/Users/higu/Project/tbls/output/gviz/gviz_test.go", "Go", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/higu/Project/tbls/output/json/json.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 45
"/Users/higu/Project/tbls/output/json/json_test.go", "Go", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"/Users/higu/Project/tbls/output/md/md.go", "Go", 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 115, 1006
"/Users/higu/Project/tbls/output/md/md_test.go", "Go", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 257
"/Users/higu/Project/tbls/output/md/templates/index.md.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 16, 53
"/Users/higu/Project/tbls/output/md/templates/table.md.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 20, 77
"/Users/higu/Project/tbls/output/md/templates/viewpoint.md.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 10, 37
"/Users/higu/Project/tbls/output/mermaid/mermaid.go", "Go", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 105
"/Users/higu/Project/tbls/output/mermaid/mermaid_test.go", "Go", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 150
"/Users/higu/Project/tbls/output/mermaid/templates/schema.mermaid.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/higu/Project/tbls/output/mermaid/templates/table.mermaid.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/Users/higu/Project/tbls/output/output.go", "Go", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 113
"/Users/higu/Project/tbls/output/output_test.go", "Go", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/higu/Project/tbls/output/plantuml/plantuml.go", "Go", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 105
"/Users/higu/Project/tbls/output/plantuml/plantuml_test.go", "Go", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 150
"/Users/higu/Project/tbls/output/plantuml/templates/schema.puml.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/higu/Project/tbls/output/plantuml/templates/table.puml.tmpl", "Go Template File", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"/Users/higu/Project/tbls/output/xlsx/xlsx.go", "Go", 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 306
"/Users/higu/Project/tbls/output/yaml/yaml.go", "Go", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 32
"/Users/higu/Project/tbls/output/yaml/yaml_test.go", "Go", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/higu/Project/tbls/sample/adjust/README.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 65
"/Users/higu/Project/tbls/sample/adjust/administrator.blogs.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
"/Users/higu/Project/tbls/sample/adjust/administrator.blogs.svg", "SVG", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 76
"/Users/higu/Project/tbls/sample/adjust/backup.blog_options.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"/Users/higu/Project/tbls/sample/adjust/backup.blog_options.svg", "SVG", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 67
"/Users/higu/Project/tbls/sample/adjust/backup.blogs.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"/Users/higu/Project/tbls/sample/adjust/backup.blogs.svg", "SVG", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 67
"/Users/higu/Project/tbls/sample/adjust/public.CamelizeTable.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31
"/Users/higu/Project/tbls/sample/adjust/public.CamelizeTable.svg", "SVG", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 58
"/Users/higu/Project/tbls/sample/adjust/public.comment_stars.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37
"/Users/higu/Project/tbls/sample/adjust/public.comment_stars.svg", "SVG", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 150
